id,name_kr,name_en
1938150,박병호,Park Byeong-ho
19581136,김종덕,Kim Jong-deog
19641102,장동훈,Jang Dong-hun
1925156,박종길,Park Jong-gil
19611134,고동수,Ko Dong-su
19651106,문대림,Mun Dae-rim
19271120,신순휴,Shin Sun-hyu
1924198,박종길,Park Jong-gil
19281163,권성기,Kwon Seong-gi
19501101,정병국,Jeong Byeong-gug
19091205,권성기,Kwon Seong-gi
1969212,한정혜,Han Jeong-hye
19531125,김인겸,Kim In-gyeom
195828,정수경,Jeong Su-gyeong
19431142,윤기성,Yoon Gi-seong
1951210,최유수,Choi Yu-su
19201160,권호연,Kwon Ho-yeon
19241164,김해영,Kim Hae-yeong
1969213,신향숙,Shin Hyang-sug
1966173,이민수,Lee Min-su
1968147,김외철,Kim Oe-ceol
19351169,박장수,Park Jang-su
19401165,장유길,Jang Yu-gil
1942181,김기수,Kim Gi-su
1949110,오재관,Oh Jae-gwan
1965211,송옥주,Song Og-ju
1948119,유영,Yu Yeong
1962210,문명순,Mun Myeong-sun
1967155,김헌태,Kim Heon-tae
1933180,김기수,Kim Gi-su
1924123,김기수,Kim Gi-su
196329,조경애,Cho Gyeong-ae
1953137,이상천,Lee Sang-ceon
19601171,김좌관,Kim Jwa-gwan
198323,정은혜,Jeong Eun-hye
198315,안상현,Ahn Sang-hyeon
1962211,김경자,Kim Gyeong-ja
19631125,이재화,Lee Jae-hwa
19601172,김영술,Kim Yeong-sul
19251105,김형돈,Kim Hyeong-don
19201161,강명찬,Kang Myeong-can
19151122,정해규,Jeong Hae-gyu
19351170,정해규,Jeong Hae-gyu
1913153,김재호,Kim Jae-ho
19291106,주동준,Ju Dong-jun
1971216,정지영,Jeong Ji-yeong
1955210,황인자,Hwang In-ja
19151200,김주인,Kim Ju-in
1968148,권혁기,Kwon Hyeog-gi
19601173,서정도,Seo Jeong-do
19271109,최재구,Choi Jae-gu
1927132,김재호,Kim Jae-ho
19041171,김재호,Kim Jae-ho
19201162,김재호,Kim Jae-ho
19551148,강창규,Kang Cang-gyu
1955211,정영순,Jeong Yeong-sun
195029,이명숙,Lee Myeong-sug
19491122,최홍묵,Choi Hong-mug
1966219,함영이,Ham Yeong-i
19501103,장동학,Jang Dong-hag
1952126,김재호,Kim Jae-ho
19151138,김재호,Kim Jae-ho
19611137,신명곤,Shin Myeong-gon
19331104,김재호,Kim Jae-ho
1913178,이상철,Lee Sang-ceol
19621114,박영환,Park Yeong-hwan
19591140,서규석,Seo Gyu-seog
1932187,이상철,Lee Sang-ceol
1925146,이상철,Lee Sang-ceol
1924135,이상철,Lee Sang-ceol
1948185,이상철,Lee Sang-ceol
19491103,이상철,Lee Sang-ceol
19601174,박대성,Park Dae-seong
1965212,나순자,Na Sun-ja
1965213,윤난실,Yoon Nan-sil
19471127,고영석,Ko Yeong-seog
1974210,황선,Hwang Seon
1977210,윤지영,Yoon Ji-yeong
1971147,공성경,Gong Seong-gyeong
198324,이지영,Lee Ji-yeong
19641104,이명우,Lee Myeong-u
1956218,엄향희,Eom Hyang-hyi
19371137,윤영오,Yoon Yeong-o
1901111,김성호,Kim Seong-ho
1892126,이상철,Lee Sang-ceol
19601176,한관희,Han Gwan-hyi
1916187,김형덕,Kim Hyeong-deog
1914174,김형덕,Kim Hyeong-deog
19301111,신재기,Shin Jae-gi
19491124,이길용,Lee Gil-yong
19471125,박준형,Park Jun-hyeong
19331133,김용관,Kim Yong-gwan
19161167,김용관,Kim Yong-gwan
19451102,황석희,Hwang Seog-hyi
1970131,김기목,Kim Gi-mog
195229,손점순,Son Jeom-sun
19501105,오인산,Oh In-san
194429,박희자,Park Hyi-ja
19491125,허평환,Heo Pyeong-hwan
19521153,권중길,Kwon Jung-gil
19401142,김의웅,Kim Yi-ung
19461138,조임호,Cho Im-ho
19531127,김하영,Kim Ha-yeong
198414,조민희,Cho Min-hyi
19581138,권오준,Kwon O-jun
19421137,김용관,Kim Yong-gwan
19541126,권오묵,Kwon O-mug
1931186,김환기,Kim Hwan-gi
19571152,이대근,Lee Dae-geun
19461139,유상두,Yu Sang-du
1954218,최미란,Choi Mi-ran
1966176,임규오,Lim Gyu-o
19311109,이일호,Lee Il-ho
1967214,이유원,Lee Yu-weon
19381186,강봉찬,Kang Bong-can
19291107,한대숙,Han Dae-sug
1958210,이미경,Lee Mi-gyeong
1955213,김순자,Kim Sun-ja
1906142,우자경,U Ja-gyeong
192114,박경원,Park Gyeong-weon
1971217,이명희,Lee Myeong-hyi
1969143,정진우,Jeong Jin-u
1954219,장혜옥,Jang Hye-og
1973111,티코노프블라디미르,Ti Ko-no-peu-beul-ra-di-mi-reu
197924,박은지,Park Eun-ji
197527,강연재,Kang Yeon-jae
19421171,전영춘,Jeon Yeong-cun
197516,오태양,Oh Tae-yang
19601132,김준수,Kim Jun-su
1936195,천명기,Ceon Myeong-gi
1961216,박영희,Park Yeong-hyi
1927123,김용호,Kim Yong-ho
1913177,김용호,Kim Yong-ho
1943135,이정대,Lee Jeong-dae
198012,김태훈,Kim Tae-hun
19581139,이태희,Lee Tae-hyi
19381105,권영식,Kwon Yeong-sig
19151218,정일권,Jeong Il-gweon
19551134,김철주,Kim Ceol-ju
1935152,김재완,Kim Jae-wan
1947147,이영,Lee Yeong
1937158,진성범,Jin Seong-beom
1958197,조영환,Cho Yeong-hwan
1939119,이영근,Lee Yeong-geun
19571130,이현,Lee Hyeon
19591133,김석호,Kim Seog-ho
1967120,김영호,Kim Yeong-ho
19581129,김영호,Kim Yeong-ho
19461126,김병원,Kim Byeong-weon
19531107,이해성,Lee Hae-seong
19541109,이정환,Lee Jeong-hwan
1963153,정일권,Jeong Il-gweon
19241143,장승태,Jang Seung-tae
198212,이재형,Lee Jae-hyeong
1967153,김경수,Kim Gyeong-su
1947124,김대근,Kim Dae-geun
19621119,이태호,Lee Tae-ho
19491128,정훈,Jeong Hun
1967144,김동열,Kim Dong-yeol
19531112,이중화,Lee Jung-hwa
1916197,이민우,Lee Min-u
1939169,홍찬기,Hong Can-gi
1964188,김종민,Kim Jong-min
19611101,박선규,Park Seon-gyu
19551135,김동주,Kim Dong-ju
19611121,이건영,Lee Geon-yeong
1971148,홍재범,Hong Jae-beom
19061136,이민우,Lee Min-u
1952210,이상순,Lee Sang-sun
19591135,강석진,Kang Seog-jin
19561132,홍순우,Hong Sun-u
19491123,이용환,Lee Yong-hwan
19481127,김지준,Kim Ji-jun
1926126,오용운,Oh Yong-un
19251159,오용운,Oh Yong-un
1957125,임호,Lim Ho
19561122,강동복,Kang Dong-bog
1966166,김민기,Kim Min-gi
1889140,서우석,Seo U-seog
1923181,이철승,Lee Ceol-seung
1921133,이철승,Lee Ceol-seung
1888128,오석주,Oh Seog-ju
197511,김광수,Kim Gwang-su
1919186,임종기,Lim Jong-gi
19271121,권오태,Kwon O-tae
1888118,오택관,Oh Taeg-gwan
19261112,정휘동,Jeong Hwi-dong
1907110,이종근,Lee Jong-geun
19421186,이상치,Lee Sang-ci
1893114,김상석,Kim Sang-seog
1887122,지청천,Ji Ceong-ceon
1895182,김준연,Kim Jun-yeon
1896190,조국현,Cho Gug-hyeon
1895191,나용균,Na Yong-gyun
1938110,김성호,Kim Seong-ho
19001126,김성호,Kim Seong-ho
19041204,김성호,Kim Seong-ho
18981168,안준상,Ahn Jun-sang
1918164,노인환,No In-hwan
19601139,김종기,Kim Jong-gi
18961110,신광균,Shin Gwang-gyun
18981140,홍성하,Hong Seong-ha
19341161,나석호,Na Seog-ho
1916149,노인환,No In-hwan
18981118,윤치영,Yoon Ci-yeong
1900173,김종선,Kim Jong-seon
18991119,최창섭,Choi Cang-seob
1934177,김종식,Kim Jong-sig
189921,임영신,Lim Yeong-sin
19001169,이진수,Lee Jin-su
19011119,김상돈,Kim Sang-don
19011134,전진한,Jeon Jin-han
19011111,최규옥,Choi Gyu-og
1923121,김효영,Kim Hyo-yeong
19021154,김용화,Kim Yong-hwa
19031121,권병노,Kwon Byeong-no
19101203,윤재근,Yoon Jae-geun
19281164,김인곤,Kim In-gon
19441138,이신행,Lee Sin-haeng
19041183,신현돈,Shin Hyeon-don
1898186,오택열,Oh Taeg-yeol
19041182,이석주,Lee Seog-ju
1961166,김충환,Kim Cung-hwan
19061169,김문평,Kim Mun-pyeong
19541128,김충환,Kim Cung-hwan
1952151,최도열,Choi Do-yeol
19041180,이재학,Lee Jae-hag
1946124,장관정,Jang Gwan-jeong
19041200,홍길선,Hong Gil-seon
19051171,김익노,Kim Ig-no
1910169,유성갑,Yu Seong-gab
19051196,김봉조,Kim Bong-jo
19081168,조한백,Cho Han-baeg
19081199,박윤원,Park Yun-weon
1963212,나경원,Na Gyeong-weon
19101198,윤재욱,Yoon Jae-ug
19111186,김수선,Kim Su-seon
19121129,이상돈,Lee Sang-don
19121184,서용길,Seo Yong-gil
19131208,황윤호,Hwang Yun-ho
1913169,신상학,Shin Sang-hag
1953189,김형오,Kim Hyeong-o
1915111,김옥주,Kim Og-ju
19161114,김익기,Kim Ig-gi
197428,박상은,Park Sang-eun
19171170,박찬현,Park Can-hyeon
1972113,김세연,Kim Se-yeon
1919110,최태규,Choi Tae-gyu
1882115,김시현,Kim Si-hyeon
188116,백상규,Baeg Sang-gyu
1887121,조소앙,Cho So-ang
1888135,서상호,Seo Sang-ho
19511115,백재현,Baeg Jae-hyeon
19471130,이시종,Lee Si-jong
19441140,이무영,Lee Mu-yeong
1888145,원세훈,Weon Se-hun
1889125,이교승,Lee Gyo-seung
